id,nom,desserte,pmr,ascenseur,escalator,gid,coordinates0,coordinates1,commune_gid
36716,Echangeur Pte des Alpes,26,false,false,false,4218,45.72340905276628,4.920578642935875,126
47421,Echangeur Pte des Alpes,26,false,false,false,9854,45.72324233378434,4.921083338303857,126
10533,Echangeur Sans-Souci,21,false,false,false,3478,45.8046430453037,4.772574876887659,187
10532,Echangeur Sans-Souci,21 & GE4,false,false,false,3479,45.80488906654528,4.77219182633731,187
46438,Echangeur Sauvegarde,10E & 19 & C6,true,false,false,5423,45.78671388232698,4.786940961910906,21
46439,Echangeur Sauvegarde,10E & 19 & C6,true,false,false,5424,45.78665602026149,4.787530210176058,21
11404,Ecluse de Rochetaillee,40 & 70,true,false,false,9930,45.844539531165886,4.835296274417695,140
11405,Ecluse de Rochetaillee,40 & 70,true,false,false,9931,45.84422151314597,4.835203247504842,140
825,Ecole de Sante,26 & 26,true,false,false,1367,45.72811227422437,4.924903310717061,126
47839,Ecole Jacques Cartier,12,false,false,false,11007,45.67945184508273,4.763810407703381,41
47840,Ecole Jacques Cartier,12,false,false,false,11008,45.679426849221485,4.763842435243107,41
46444,Ecole Jules Ferry,1E,false,false,false,5592,45.715882469688616,5.128155177056136,47
11440,Ecole N.D. Bellegarde,84 & 96 & 97,true,false,false,3699,45.87040803560554,4.842011209161111,138
43658,Ecole Nationale Musique,27,true,false,false,4877,45.76737802050404,4.874142280302647,159
829,Ecole Veterinaire,142 & 72 & 98 & GE6,true,false,false,1368,45.79007730217175,4.70867016599678,193
828,Ecole Veterinaire,142 & 98,true,false,false,1369,45.79011652988488,4.708517463671036,193
47206,Ecoles de Collonges,71 & 71,false,false,false,9291,45.82262165571326,4.837985638895386,184
835,Ecully Centre,19,true,false,false,1373,45.774516918762195,4.779117191446995,181
836,Ecully Centre,55,true,false,false,1377,45.774728393479776,4.778084682359051,181
834,Ecully Centre,3 & 5 & 19,true,false,false,10712,45.77448122904023,4.779102743712339,181
11006,Ecully Centre,3 & 55 & PL3 & S15,true,false,false,1376,45.77478722568412,4.778020020415041,181
30256,Ecully Centre,S15,false,false,false,8843,45.77420629111872,4.778749026607199,181
30249,Ecully Fayolle,S15,false,false,false,3750,45.78328571729034,4.781101894896595,181
30252,Ecully Fayolle,S15,false,false,false,3749,45.78314631601346,4.780889859629328,181
46097,Ecully Grandes Ecoles,3 & C6E,true,false,false,3052,45.7855128225074,4.765157670040232,181
46098,Ecully Grandes Ecoles,3 & C6E & PL3,true,false,false,3050,45.78562944542809,4.765175685638486,181
43477,Ecully Le Perollier,19,true,false,false,4852,45.790354174173274,4.777154954067786,181
43476,Ecully Le Perollier,19 & 89D & S15,true,false,false,4854,45.79019419127091,4.776994998770632,181
43475,Ecully Le Perollier,89D,true,false,false,4853,45.79025414828748,4.777064951875137,181
47466,Ecully Le Trouillat,3 & 55,true,false,false,9745,45.77675125038454,4.773793064987936,181
839,Ecully Le Trouillat,3 & 55 & PL3,true,false,false,1381,45.776597295803796,4.774027045520573,181
37616,Ecully Le Trouillat,S15,false,false,false,1380,45.775755159799346,4.77391113292449,181
37173,Edelweiss,ZI3,false,false,false,4266,45.75683504163256,4.942620965817084,148
842,Edgar Quinet,27 & C4,true,false,false,1382,45.76579604638997,4.84454923790008,86
843,Edgar Quinet,27 & C4,true,false,false,1383,45.76564982704486,4.844494599641051,86
12038,Edouard Aynard,19 & S15,true,false,false,3201,45.77671719191015,4.778931904778807,181
12039,Edouard Aynard,19 & S15,true,false,false,3202,45.77661040212786,4.778875709267091,181
844,Egalite - Farrere,C25,true,false,false,1385,45.68828766234057,4.949614074452176,172
47783,Egalite - Farrere,C25,false,false,false,10795,45.68841945954886,4.94903016455394,172
846,Eglantines,68,false,false,false,1386,45.74073888063213,4.96276231498012,169
847,Eglantines,68,false,false,false,1389,45.74036213572836,4.96270576778536,169
849,Eglise Demi-Lune,14 & 55 & 72 & 73 & 86 & 98 & C21 & C24,true,false,false,731,45.76472101820459,4.786270052836809,134
10304,Eglise Demi-Lune,14 & 72 & C24,true,false,false,730,45.76428315296257,4.78529887453171,134
10247,Eglise Demi-Lune,45 & 55 & 90,true,false,false,728,45.76422001496946,4.786955074404586,134
11222,Eglise Demi-Lune,45 & 55 & 90,true,false,false,9173,45.764161295956995,4.786610111661283,134
848,Eglise Demi-Lune,55 & 73 & 86 & 98 & C21,true,false,false,729,45.764638079921696,4.785533303272298,134
42115,Eiffel,ZI2,false,false,false,4702,45.78185009389256,5.029273057244556,179
10359,Elisee Reclus,79,true,false,false,1390,45.74752852454991,4.937140094029656,148
46518,Elisee Reclus,79 & ZI3,true,false,false,9674,45.747681084747384,4.937226248872801,148
10490,Emile Bertrand,57,true,false,false,3465,45.772023324658086,4.957207141151606,148
44418,Emile Bertrand,57,true,false,false,9945,45.77206689142888,4.957288197261897,148
852,Emile Chanel,S4,true,false,false,1392,45.77775111338293,4.816142101581121,20
813,Emile Vial,24 & 25 & 68 & ZI5,true,false,false,1361,45.74513337828497,4.929389972620697,126
814,Emile Vial,24 & 25 & 68 & ZI5,true,false,false,1362,45.745306297247794,4.929308122916439,126
42318,Emile Zola,C7,true,false,false,11142,45.705038652063344,4.819080583187912,130
42319,Emile Zola,C7,true,false,false,11143,45.70505735810402,4.818987772903153,130
46411,Engrives,1E,false,false,false,5380,45.69162243127754,5.034282744961774,48
46412,Engrives,1E,false,false,false,5381,45.69155443186032,5.034306644562836,48
1954,ENS Lyon,34,true,false,false,786,45.73144837436802,4.830573461339893,84
1955,ENS Lyon,34,true,false,false,785,45.73150024081001,4.829507206032309,84
46157,ENS Lyon,T1,true,false,false,788,45.73145785005577,4.82885055096414,84
46158,ENS Lyon,T1,true,false,false,787,45.73139533369172,4.828844635735043,84
43309,ENTPE Ecole Architecture,57,true,false,false,4835,45.77941780674904,4.922486228660129,171
43310,ENTPE Ecole Architecture,57,true,false,false,4836,45.77938877559944,4.922406131294116,171
856,Entree de Decines,52,true,false,false,1394,45.76828436089774,4.936436491593795,171
853,Entree de Decines,67,true,false,false,1395,45.767436702568794,4.934557157331896,171
854,Entree de Decines,52 & 67,true,false,false,1393,45.76770086617053,4.935453258999864,171
36211,Espace Favier,80,true,false,false,4105,45.607891813146054,4.783653078379996,167
47357,Espace Favier,80,true,false,false,9618,45.60727878001238,4.78354124412325,167
46971,Espace Francois Perraud,11,false,false,false,6646,45.70773885718392,4.748354395191055,44
46972,Espace Francois Perraud,11,false,false,false,6647,45.70769389551604,4.748352426157984,44
34433,Esplanade des Arts,50,true,false,false,9794,45.69460347962087,4.940096328447114,172
37847,Esplanade des Arts,50,true,false,false,434,45.69440919403267,4.940694708819778,172
34434,Esplanade des Arts,62 & C25 & ZI8,true,false,false,435,45.69411073240587,4.941143010359984,172
34535,Esplanade des Arts,62 & C25 & ZI8,true,false,false,436,45.69399592659116,4.941047666319495,172
33213,Esplanade des Arts,T2,true,false,false,431,45.694453276034096,4.940622164244387,172
33214,Esplanade des Arts,T2,true,false,false,432,45.69452780678675,4.940637762987005,172
47805,Esplanade Mitterrand,S1,false,false,false,10891,45.74057136638855,4.820524423063508,83
32162,Essarts - Iris,T2 & T5,true,false,false,485,45.73720079312928,4.898122012445829,85
32163,Essarts - Iris,T2 & T5,true,false,false,486,45.737259402389206,4.898160990784046,85
2335,Essarts - Laennec,1E & 24,true,false,false,10167,45.73520292352744,4.889420773353383,85
2336,Essarts - Laennec,1E & 24,true,false,false,2431,45.73538421636025,4.8889693838486,85
47307,Essarts - Laennec,T6,true,false,false,10071,45.735547267389386,4.890008377591817,85
47308,Essarts - Laennec,T6,true,false,false,10072,45.735512224991,4.88993836678848,85
867,Etats-Unis Leriche,26,true,false,false,1396,45.72746868327542,4.86925654657653,85
3466,Etats-Unis Tony Garnier,26 & 34 & C16,true,false,false,617,45.73303680395063,4.864628373632676,85
39898,Etats-Unis Tony Garnier,26 & 34 & C16,true,false,false,616,45.73387126971873,4.864294453965466,85
39378,Etats-Unis Tony Garnier,T4,true,false,false,619,45.73296528774802,4.864746298463213,85
39379,Etats-Unis Tony Garnier,T4,true,false,false,618,45.73300173948249,4.864838333649605,85
873,Etats-Unis Viviani,26,true,false,false,9759,45.725406337595565,4.870515479549677,85
874,Etats-Unis Viviani,26,true,false,false,626,45.72487613912318,4.871257809947651,85
39382,Etats-Unis Viviani,T4,true,false,false,628,45.72486786004513,4.871042547555896,85
