properties/id;properties/nom;properties/desserte;properties/pmr;properties/ascenseur;properties/escalator;properties/gid;properties/last_update;properties/last_update_fme;geometry/type;geometry/coordinates/0;geometry/coordinates/1
216;Bois de Parilly;26A:R,C15A:R,C17A:R;true;false;false;940;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.72577765830037;4.912695790064288
219;Bois de Serres;3A:A;true;false;false;943;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.79533938488911;4.762773667232589
220;Bois de Serres;3A:R;true;false;false;942;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.79558995313101;4.762424426446505
221;Bois des Chenes;78B:A,C10A:A;true;false;false;945;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.68066547589717;4.78235296770535
222;Bois des Chenes;78B:R,C10A:R;true;false;false;944;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.68070875774317;4.782431935577963
223;Bois Roux;33A:A,70A:A,77A:A,9B:A;true;false;false;947;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.8125846530465;4.859868869750641
224;Bois Roux;33A:R,70A:R,77A:R,9B:R;true;false;false;946;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.812595607834766;4.859773860633028
227;Bon Coin - Medipole;C11A:A,C17A:R,C3A:A;true;false;false;9522;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.76068195636625;4.906205292007596
230;Bonnand;25A:R;true;false;false;953;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.74943508091837;4.88421634041594
233;Bonnevay - Bel Air;7A:A,7A:R;true;false;false;954;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.75310346290363;4.907700275093765
235;Bourdarias;C25B:R;true;false;false;9303;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.7248743857795;4.882435434504391
238;Bourget;31A:R,43A:R;true;false;false;10926;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.78356136135816;4.81166877965993
239;Bournes;2A:A,C18A:R;true;false;false;961;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.777035276145476;4.820649808937345
240;Bournes;2A:R,C18A:A;true;false;false;960;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.77696134901665;4.82073651582359
241;Boutarey;77A:A;true;false;false;962;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.82668265306404;4.87796222321691
242;Boutarey;77A:R;false;false;false;963;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.826551482513274;4.877863582788464
243;Boyer;46A:A,46A:R,90B:A,90B:R;true;false;false;964;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.75887204650271;4.78495517550731
244;Brindas Centre;73D:A,73D:R,73E:A,73E:R;true;false;false;965;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.7199003018046;4.693645102810692
250;Bron De Lattre;C15A:A;true;false;false;966;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.73427620896389;4.917461279039466
255;Bron Jules Mas;24A:A,79A:A,C17A:R;true;false;false;968;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.73572412934228;4.911130350515928
256;Boutasse - C. Rousset;C17A:A;true;false;false;406;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.73455073098701;4.904198486012517
266;Bron Terraillon;24A:R,25A:R,52A:A;true;false;false;976;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.74716005190849;4.923788311132981
267;Bron Terraillon;24A:A,25A:A,52A:R;true;false;false;977;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.74699591216128;4.923962008027067
268;Brossolette-Genas;52A:A,C15A:R;true;false;false;978;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.747881955905896;4.917536423793489
